dataset,config,judge,CAC_mean,CAC_std,EPC_mean,EPC_std,AR_mean,AR_std,TRA_mean,TRA_std,ACQ_mean,ACQ_std,overall_mean,overall_std,n
smile,S2,gpt,2.487,0.46,2.789,0.713,2.395,0.502,2.618,0.385,2.421,0.312,2.542,0.393,19
smile,S2,qwen,1.566,0.611,1.474,0.6,1.579,0.54,1.513,0.543,1.526,0.539,1.532,0.523,19
smile,S3,claude,1.789,0.608,2.079,0.804,1.816,0.558,2.105,0.567,1.842,0.473,1.926,0.536,19
smile,S3,gemini,1.342,0.443,1.763,1.046,1.316,0.448,1.395,0.459,1.237,0.348,1.411,0.502,19
smile,S3,gpt,2.632,0.467,2.868,0.761,2.434,0.455,2.645,0.347,2.579,0.344,2.632,0.401,19
smile,S3,qwen,1.171,0.312,1.132,0.281,1.132,0.268,1.118,0.268,1.184,0.332,1.147,0.268,19
soulchat,S1,claude,2.05,0.51,2.5,0.607,2.075,0.494,2.525,0.413,2.3,0.497,2.29,0.442,20
soulchat,S1,gemini,1.5,0.363,1.725,0.697,1.475,0.444,1.625,0.393,1.725,0.38,1.61,0.373,20
soulchat,S1,gpt,2.725,0.444,3.112,0.49,2.512,0.401,2.862,0.339,2.712,0.296,2.785,0.32,20
soulchat,S1,qwen,1.562,0.413,1.45,0.491,1.412,0.374,1.438,0.371,1.288,0.327,1.43,0.342,20
soulchat,S2,claude,1.95,0.456,2.375,0.604,1.95,0.456,2.375,0.319,2.025,0.413,2.135,0.391,20
soulchat,S2,gemini,1.475,0.472,1.75,0.803,1.475,0.444,1.575,0.438,1.525,0.38,1.56,0.444,20
soulchat,S2,gpt,2.7,0.377,3.288,0.558,2.688,0.291,2.938,0.213,2.625,0.275,2.848,0.242,20
soulchat,S2,qwen,1.962,0.575,2.138,0.941,1.8,0.616,1.825,0.608,1.838,0.592,1.912,0.608,20
soulchat,S3,claude,1.925,0.335,2.25,0.574,1.975,0.38,2.35,0.328,2.15,0.366,2.13,0.318,20
soulchat,S3,gemini,1.775,0.595,2.125,0.901,1.75,0.574,1.85,0.54,1.775,0.38,1.855,0.5,20
soulchat,S3,gpt,2.8,0.34,3.188,0.531,2.562,0.396,2.875,0.222,2.65,0.286,2.815,0.241,20
soulchat,S3,qwen,1.562,0.531,1.562,0.612,1.4,0.534,1.488,0.483,1.438,0.499,1.49,0.462,20
